text,label
only one man survived barely sane he got out two words before collapsing shadows shadows,1
one of the oriqs most powerful tools is the mage hunter a vile monstrosity created to seek out and snuff out the arcane,0
to survive you must seize every opportunity daghatar the adamant,0
where the nefashu pass blood rolls like a silk carpet,0
with innovative stabilizing techniques suja pavani brings this piece of the sky itself to the inventors fair,0
not for the bumblefooted nor wobblestomached kreq of sunder bay,1
after seeing his lifes work drip away the mage decided it was a good time to go crazy,0
tawnos won fame as urzas greatest assistant after he created these warriors urza ended his apprenticeship promoting him directly to the rank of master,0
a lifetime of discipline forsaken in a moment of rage,0
when the moon rises and the bloodlust takes hold nothing matters but the kill,1
i implore you not to forget the horrors of the past you would have us start the brothers war anew sorine relicbane soldevi heretic,0
hate gets you only so far a pointy stick can close the rest of the distance,0
knowledge is a feast for the mind savor every swallow,1
native to wide prairies and scrublands falcons occasionally roost in dragon skeletons,1
as the hedrons began to coalesce into colossal eldrazi superstructures the griffins were forced to seek new territory lest their aeries be crushed between the massive stone monoliths,1
while you were wasting time with abstract equations i mastered ancient oggyar fire magic your move,1
the noble steeds of the elven gods can sometimes be persuaded to allow mere mortals on their backs,0
faugh snorted tahngarth why would it make a meal of something like you squee looked relieved no he continued youd make a much better toothpick,0
every device in the rig is evidence of thran enlightenment all mana was the same to them whether from rock or water growth or decay can you imagine such unity of vision urza journal,1
formerly oppressed by the polis of meletis leonin occasionally mistake their old enemies for game,1
pockets full of gold lungs full of brine,0
destiny is a flickering path among tangled possibilities,1
nature grows solutions to its problems,0
the clouds broke and the suns rays burst forth each foul beast in its turn faltered and was gone,1
the defenses of the abzan extend well beyond the walls of their fortresses,1
i wouldnt want you to hurt yourself bruenna neurok leader,1
its root system spans the entire floor of the jungle making eradication impossible,1
from the roil emerged a ravenous primordial being of pure mana,1
some samurai fell so far out of grace that only dogs would keep them company,1
those that fall short of perfection can still contribute to the great work keskit the flesh sculptor,0
an eye for detail a mind for numbers a soul of clockwork,0
i have calculated that a dragon in flight in a single strafing run can cover an area of thaedus the clever last words,1
they are bred to suffer and born to die much like humans gix yawgmoth praetor,1
asia vintage champion,1
yes boros tactics are unparalleled but when your comrades are dying around you inner strength must carry the day gideon jura to aurelia,1
the rising of the first full moon eliminated any doubt as to the horrible truth lurking within,1
the sound of the trumpets lights a fire in the hearts of the bold and snuffs the courage of the cowardly,0
unpredictable as a storm and destructive as a tidal wave,1
what the golgari cant claim through patient undercity expansion they seize in brazen topside sorties,1
the forests constant struggle is to keep the spreading flowstone at bay,0
you were so eager to take and consume yet when asked to give you refuse,0
aspiring wizards must demonstrate basic levels of willpower and mental discipline to even be considered for an apprenticeship,1
the more important the message the larger the messenger,1
voska feared the artifact had come too easily,0
naturally inquisitive and adaptable goblins can turn their small stature to their advantage as rogues,1
my family was saved thanks to a single boros soldier its why i joined the legion i will be the protector now,1
good dogs stay by your side until the end great dogs leave to bring back aid,1
i got your milk right here,0
to be counted among the warriors of setessas leina tower you must not fear death only failure,1
vintage championship winner,1
serves you right for rushing ahead kaliea sea gate trapfinder,1
doors walls skulls    it matters not all barriers will be broken,0
raths new evincar eliminated the brutish moggs and took a new slave race one more reminiscent of her own feline grace,1
the skyhunters were born when the first leonin gazed at the heavens and wished to hunt the birds overhead,1
the most popular pit fighters are brought back for encore performances,1
we may have lost faith in our gods but we are far from losing faith in ourselves munda ambush leader,0
unlike previous conflicts the war between urza and mishra made dominaria itself a casualty of war,0
lavamancers make simple requests obey or die,1
the soldier moved with fluid poise his awareness extending far beyond five senses,0
lets lure the drakes to the webs over the samok stand keep the spiders content aurelia,1
few of raths rivers follow a steady course so many new channels are carved for them,1
theyre the chairmen of the bored,1
my sorrow to dream of simple times and wake in mine     ola dariol regrets,1
with a sadness and a sense of hope senka left the colony of her birth and with her attendants set out to serve as broodmistress founder of a new colony,1
its bad enough to be torn to pieces its worse by far to be torn from the world itself,1
one who is marked by a demon in life is sure to be remembered as one in death,0
hmmmmidnight snack,1
let the land dwellers know the coast is no longer the border between our realms a new age of empire has begun,0
the people wiped the sand from their eyes and cursedand left the barren land to the hyenas and vipers afari tales,1
no signs of any suspicious activity yet,0
twilight falls we rise necropolis inscription,1
he listens to the sounds of battle filtering down from above waiting for silence waiting for his time to claim the streets,1
the fiercest loyalties are earned in battle gideon jura,1
the demon griselbrand dared to stand against avacyn earning him the loathing of thousands and the admiration of a few,1
the ilkor no longer roam the open plains but they are still hunters,1
most students could barely endure dean embroses scrutiny for a semester or two killian lived with it his entire life,1
when churchyards yawn and hell itself breathes out contagion to this world william shakespeare hamlet,1
its web is an excellent source of found copper for the daring or the stupid,1
kozileks brood infiltrates and deceives the spawn of ulamog mindlessly consume,0
the pen is mightier than the crown,0
now its your turn to hide vraska,1
the mushrooms growing in the wolves fur possess curative properties incredible enough to tempt many alchemists into risking their lives to track one down,1
i hear halinas got a pony that can count to sixand likes to eat meat chandler,1
after the destruction of the helvault fearful mobs soon became fearless battalions,1
this is a tale to make all kaldheim tremble,1
the beauty of it is they never see it coming ever razzix sparkmage,0
rootlike fibers travel far from mirrodins metallic forests emerging from the crust to drink in the manainfused sunlight,1
the sea holds all that you need you simply must know how to ask for it,0
the best leaders are made by their followers,0
half a brain rules the mindless,1
if your blood doesnt run hot i will make it run in the sands maraxus of keld,0
one beginning many paths vannifar,1
tritons borrow the camouflage of their oceanic prey to become predators on land,0
it has more teeth than fit in its mouth,1
just the place for a picnic murat death speaker,0
festivals just ahead youre almost there,1
battle tempers soldiers as fire tempers steel,1
sea gate may have fallen but we still stand we still fight gideon jura,1
at the battle of changan ma chao defeated the two generals cao cao sent to guard the pass but was forced to flee when cao caos trickery turned his own ally against him,1
grelden knelt and felt the cool dry hand of the priest on his brow hours later when his wits returned he was covered in his enemies blood on the field of victory,1
you might want to step back jaya ballard task mage,1
once nissa selected worthy fighters to defend the joraga now she gathers forces to defend all of zendikar,1
a solution in search of a problem,0
the feline eternal felt lilianas command looked at her disdainfully flicked its paw and scampered away across the rooftops,1
changelings cannot resist the draw of a new shape even if doing so would be in their best interests,1
dosans monks deep in spiritual thought could walk through the thickest of forests without leaving a mark even the leaves beneath their feet unaffected by their passing,1
and i will bring the fury of the wild back to my village,1
a focal point for time rifts foriys contends simultaneously with foes both new and old,1
this city will perish and the gruul will cheer as the boargod crushes the last bricks into dust nikya of the old ways,1
secrets what secrets,1
by appearing in places miles apart at the same time zuo ci exhibited the mystics ability to shrink the land,1
the greatest challenge isnt the stifling heat but the crushing weight of those who failed before,1
they feed on the living to stay undead,1
there is always another way,0
were now to dispense aid to any mirran we see battling anything    strange regents orders ranya skyhunter captain,1
long after the magic wore off the mice still dreamed of glorious galloping tales of the fae,1
the paladins would be wise not to forget about the pearl trident the merfolk warriors have turned the tide of more than one human war  and i have no doubt they shall do so again onean scholar,0
if you threaten its territory it produces spores actually no matter what you do it produces spores hadi kasten calla dale naturalist,1
never mistake deception for cleverness,1
it loomed up over the horizon silent and dark as a grave,1
after his hands had crumbled away leaving only wickedly sharp points he decided his only purpose was war,1
buyer beware,1
a weapon best suited for those with good aim and steady hands,1
though gideon arrived at sea gate too late to prevent the massacre he still had enough time to lead its survivors to relative safety,1
we raised eelhawks to control the squidflies then waspcrabs to prey on the eelhawks now what do we do with all these waspcrabs gulistan simic biomancer,1
anarchy comes in many forms social individual gruul,0
who knows from whence the winter comes,1
see the land itself raises an altar to the ascendancy of nature mayael the anima,1
choices are rarely as simple as they seem,0
arent you going to offer me a drink,1
old home never forgotten new home ours forever,0
no god on theros ever truly dies as long as there are those who still have faith in them,1
if i am to die let it be a heros death,1
he tried to live far from those he could hurt,1
inner strength is never seen until it makes all the difference,0
the winged helms of the guard are put on for pageantsbut taken off for war,0
relative of yours ertai teased mirri simply sneered,0
may you drink until you drown but never be sated odila witch of morkrut,1
oketras closest viziers are known as her chosen though others may have a better claim to that moniker,0
your signet is no symbol of power it marks only your need for numbers to aid you what do you do guildrat now that you face my blade alone,0
with innovative stabilizing techniques suja pavani brings this piece of the sky itself to the inventors fair,0
i am the storm,0
pathetic let me show you how its done,0
ogre shamans must be bright enough to learn their invocations and dim enough to use them,0
do not call the balduvians barbaric their magic is as potent as it is primal zur the enchanter,0
saffiyah clapped her hands and twenty flying men appeared at her side each well trained in the art of combat,1
each form she takes is an exploration of the senses,1
as much as i hate water i do love fish     mirri of the weatherlight,1
she watches the chaos created by the roil seeking strength in the patterns of anarchy,1
progress leads to inspiration,1
i cannot read these runes yet somehow they seem like a warning have we passed unknowingly into a new realm ekken omenseeker navigator,0
legend speaks of the sun spear the mighty weapon that can strike any point in theros even the depths of the underworld,0
the welcoming appearance of the arrow bamboo forest masks its deathly hostility,1
furious and unable to separate the bitter rivals consoled themselves by splitting everything else they saw in half,1
beasts kill for their very survival if you would have their strength you must know their desperation konnos sylvok sage,1
the heavens augur weal    for me woe for you,1
rigorous faith and belief are rewarded on occasion and richly so,1
we fought so long to hide this place let us be first to learn its wonders,1
each syllable chills your veins each word rattles your mind cabal patriarch,1
faeries talk all in riddles and tricky bits cept the nobles now theres some straight talkers joskun anhavva constable,1
they soar and the mystics follow,1
that didnt happen naturally said multani raths overlay is interfering with the ther itself,1
the best cure for a big ego is a little failure,1
it can chop down a redwood in a single stroke your sternum isnt going to fare any better,1
fear the knight leaping from the water into the air weapon ready,0
valiant icatia was the last of the sarpadian empires to fall its faithful soldiers defended their cities to the very end sarpadian empires vol vi,0
why do you weep for the dead i rejoice for they have died for me fallen angel to serra,0
as the elves learned the hymns of angels the knights learned the roars of titans,0
we each have our own strengths radiant serra said with a sly smile if all of my people were like this one who would carry your scrolls,1
the sacred might of thune thunders in my soul,1
you know that secret the one that wakes you up at night in a cold sweat the one you think no one else in the world knows well guess what,1
a spiteful force exists on ravnica that binds these ghosts to the land of the living but forbids them to touch it,0
although the elves of havenwood lived in isolated villages their swift communications allowed them to act as a single community,1
he does not tolerate intruders,0
in the tangle bad is often followed by worse,1
as peace returned to thraben some cathars made the mistake of letting down their guard,0
facets of life reflections of the soul,1
sympathy is for weaklings whoever survives wins benzir archdruid of temple might,1
until all have found their place i will keep watch,0
passions cant be shackled by laws or mastered with logic the choice is freedom or death volume iv the book of fire,0
it is better to take what does not belong to you than to let it lie around neglected mark twain more maxims of mark,1
few among the living understand just how much of their world is shaped by the ruins of the dead,0
and now im coming for you,1
kothophed bestowed upon liliana eternal youth carved into her skin as intricate tattoos,0
villagers cloaked the town in magical silence but their ears still bled,1
in llanowar we tend the forests boughs and branches in yavimaya we are a part of them rofellos of llanowar,1
in every other mind the battle was lost general takeno alone was not touched by despair drawing his blade he was attack and rallying cry in one battle of akagi river a survivors tale,1
if im going im taking you with me,1
some merfolk choose to rest their fins in the water i believe wisdom exists not only where we were born but where we were told not to go,0
with the hekma destroyed the wandering dead that sought entrance to naktamun had free rein to lay waste to the city,0
their thoughts flow through my mind and i am healed fyndhorn elder,0
no emergency is so dire that it cannot be dealt with elegantly olivia voldaren,1
a cinders axe bears no marks from parrying a foes blade,0
i reeled from the blow and then suddenly i knew exactly what to do within moments victory was mine gustha ebbasdotter kjeldoran royal mage,1
flash like daybreak to the fray motto of the knights of dawn,1
the haazda shield is broad protecting both the free and the guilded,1
a single ambition unleashes a legion of horrors,1
though innistrad is not cleansed of evil we finally have cause to rejoice,1
the trick is to ask when no ones listening alexi zephyr mage,1
the river split into many channels as it flowed to the halimar sea few travelers could follow the same one twice,1
like many izzet creations weirds are based on wild contradictions yet somehow manage to work,1
no one is as dedicated to perfection as a stitcher working on their latest masterpiece,1
with great power comes great risk of getting yourself killed,1
fellowship the fourth myth of reality as the tides of war shift so do loyalties,1
this creature is inadequate send it to the splicers for innovation malcator executor of synthesis,0
nature grows solutions to her problems,1
never leave the future to fate,1
every sword drawn to defend is an angelic blade guided to justice by an angelic hand auriok proverb,0
its lock changes to fit each key,0
well be easy targets if we remain on the ground lets take the fight to them,1
a gruul berserker is never unarmed,1
there are laws against it but the dead have no one to complain to and the living are too frightened to investigate,1
some dogs just arent meant to be indoor pets,1
the blood is the life the blood is the life,1
let nothing own the skies but the wind dejara giltwood druid,1
this is the price of being last in the food chain we must keep our places of beauty hidden away instead of displayed for all to see hildin priest of avacyn,1
when rhonas fell his followers stirred with newfound strengtha final gift from a god they thought indomitable,0
divine gifts are granted to those who are worthy halvor arenson kjeldoran priest,1
the blinding barrier served benalia better than a hundred shields,1
i never thought id spend my life fighting im a maker not a destroyer,0
the goblin idea of music is to hit something with a stick,1
this strange beast has the hide of a leopard the howl of a dog and the horns of an ox,1
skirmishers engaged raiders before they could reach the towns although these units typically suffered huge losses they never lacked volunteers,1
i dont know why people say a doubleedged sword is bad its a sword with two edges kamahl pit fighter,1
we must rely on our own knowledge not on the dogma of the seekers or the mutterings of the sphinxes tullus of palandius,1
the hour of your redemption is here    rally to me    rise and strike strike at every favorable opportunity for your homes and hearths strike general douglas macarthur to the people of the philippines,0
the way opened before him and the dust of centuries stirred in the air,0
a screech in the night is all it takes for orzhov debtors to clutch at their coin purses,1
one of the forests best protectors is the forest itself,1
the ancestor dragon appeared atop the clouds amid shattering mountains and sundering earth jiang yanggus travelogue,1
once he gets up and going he will forever shamble on,1
widow webers new scarecrow seemed to attract more crows than it scared off,1
all those who trade in questions must answer to the dimir,0
this sliver comes into the world a perfect predator its ready to hunt and devour its first meal within seconds of hatching rukarumel field journal,0
though long held captive beneath volraths stronghold the sliver queen is actually freer than most of raths denizens her maternal instincts always take precedenceeven when they conflict with the evincars agendaand through her numerous litters she ranges across all of rath,1
sometimes quantity in the absence of quality is good enough,1
i dont like to speak ill of walkers    but just what did teferi think he was doing ertai wizard adept,1
if it means that people can live in freedom yeah ill keep watch,1
when minamo was abandoned its younger students found themselves thrust into a war beyond their skill with talents beyond their control,1
to a sabretooth all men are mice,1
most quandrix students fundamentally disagree with the concept of enough,1
the great serpent slumbers now but all warmbloods will grovel in the dirt at its awakening,1
this may hurt a lot,0
this storm blows gales through the dreams of men,1
the scullers beneath esper keep strixes as trained pets and set them loose when a fare refuses to pay,1
well how could i know theyd explode gregel township militia,0
the crossing demands singular focus your life consists of these ropes these hooks and these rocky crags your past is miles below,1
clients who cheat the sailmonger make an impact on the rest,1
there are old goblins and ambitious goblins but very few old ambitious goblins,1
the eldrazi may be ruthless but zendikar is relentless,1
tread upon these flower beds at your own peril emmara,0
my stride will break only against the twin points of hazorets spear,1
textiles at the inventors fair feature threads from every corner of kaladesh,0
mirran creatures that could withstand the phyrexian oil found an abundance of crunchy snacks,1
oops grupgrup sluiceway technician,1
its so hard to find good help these days,1
no shadow remains for you to hide in caparocti sunborn,0
as the soldiers beneath her raised their voices the angel spread her wings their span seeming to cover the sky,1
though he held the title of prime minister cao cao used the emperors name to exert his own influence on the empire,1
we are as brutal as our dragonlord we strike like wild lightning and feast on human flesh,1
not all deaths are etched with mythic meaning and iconic glory,1
trained to battle the followers of tourach the order of leitbur was not as successful in later conflicts with orcish and goblin raiders sarpadian empires vol i,1
